Date,Expense Type,Amount,Description
02-10-2023,Miscellaneous,61.58,Monthly rent
03-10-2023,Rent,399.14,Monthly rent
04-10-2023,Entertainment,311.25,Monthly rent
05-10-2023,Miscellaneous,442.67,Monthly rent
06-10-2023,Rent,63.42,Donation
08-10-2023,Miscellaneous,313.01,Donation
09-10-2023,Rent,103.2,Donation
12-10-2023,Entertainment,465.69,Monthly rent
17-10-2023,Entertainment,446.57,Movies
18-10-2023,Entertainment,325.66,Donation
21-10-2023,Miscellaneous,195.76,Concert
23-10-2023,Rent,305.38,Movies
25-10-2023,Rent,372.66,Donation
26-10-2023,Entertainment,154.47,Movies
27-10-2023,Rent,452.38,Donation
28-10-2023,Miscellaneous,442.16,Donation
