Date,Expense Type,Amount,Description
01-12-2023,Miscellaneous,54.09,Donation
02-12-2023,Miscellaneous,266.3,Movies
03-12-2023,Miscellaneous,378.3,Movies
04-12-2023,Rent,269.6,Movies
10-12-2023,Miscellaneous,264.62,Concert
11-12-2023,Food,230.86,Movies
13-12-2023,Food,256.59,Concert
15-12-2023,Entertainment,220.1,Concert
19-12-2023,Rent,497.99,Monthly Rent
21-12-2023,Entertainment,288.59,Movies
24-12-2023,Entertainment,195.2,Movies
25-12-2023,Entertainment,434.98,Concert
26-12-2023,Entertainment,452.78,Concert
29-12-2023,Entertainment,128,Concert
30-12-2023,Miscellaneous,143.65,Donation
31-12-2023,Miscellaneous,199.1,Movies
