Date,Expense Type,Amount,Description
01-02-2023,Entertainment,242.06,Concert
03-02-2023,Rent,449.83,Monthly rent
04-02-2023,Miscellaneous,310.59,Concert
07-02-2023,Rent,228.91,Movies
09-02-2023,Entertainment,264.01,Donation
10-02-2023,Miscellaneous,290.85,Monthly rent
13-02-2023,Miscellaneous,150.16,Donation
15-02-2023,Rent,154.01,Movies
17-02-2023,Miscellaneous,259.6,Donation
20-02-2023,Rent,380.66,Concert
21-02-2023,Entertainment,205.9,Donation
22-02-2023,Miscellaneous,242.37,Concert
25-02-2023,Entertainment,60.14,Movies
26-02-2023,Entertainment,57.16,Concert
