Date,Expense Type,Amount,Description
01-03-2023,Rent,339.39,Donation
03-03-2023,Entertainment,492.04,Movies
04-03-2023,Entertainment,229.8,Donation
06-03-2023,Miscellaneous,151.98,Concert
08-03-2023,Entertainment,481.56,Movies
09-03-2023,Miscellaneous,350.17,Movies
12-03-2023,Entertainment,161.62,Donation
13-03-2023,Rent,368.47,Movies
17-03-2023,Miscellaneous,427.3,Concert
18-03-2023,Entertainment,100.02,Donation
19-03-2023,Miscellaneous,153.03,Movies
20-03-2023,Miscellaneous,403.25,Concert
24-03-2023,Miscellaneous,107.72,Movies
25-03-2023,Miscellaneous,58.15,Movies
28-03-2023,Rent,464.51,Monthly rent
30-03-2023,Rent,343.38,Donation
31-03-2023,Rent,338.93,Monthly rent
