Date,Expense Type,Amount,Description
01-04-2023,Miscellaneous,159.59,Monthly rent
07-04-2023,Entertainment,171.08,Donation
10-04-2023,Miscellaneous,411.45,Donation
11-04-2023,Miscellaneous,353.9,Movies
14-04-2023,Miscellaneous,433.4,Movies
15-04-2023,Rent,368.71,Monthly rent
16-04-2023,Miscellaneous,375.08,Movies
20-04-2023,Entertainment,239.12,Concert
21-04-2023,Entertainment,193.64,Movies
24-04-2023,Rent,483.66,Concert
28-04-2023,Entertainment,333.42,Monthly rent
30-04-2023,Miscellaneous,116.24,Concert
