Date,Expense Type,Amount,Description
03-05-2023,Miscellaneous,194.54,Concert
04-05-2023,Entertainment,300.63,Concert
05-05-2023,Entertainment,202.13,Concert
06-05-2023,Rent,346.24,Concert
07-05-2023,Entertainment,190.93,Monthly rent
08-05-2023,Miscellaneous,284.11,Donation
10-05-2023,Miscellaneous,356.26,Concert
13-05-2023,Miscellaneous,490.4,Donation
15-05-2023,Entertainment,136.1,Monthly rent
18-05-2023,Rent,298.98,Movies
21-05-2023,Rent,449.9,Donation
22-05-2023,Miscellaneous,345.98,Movies
23-05-2023,Miscellaneous,195.37,Concert
24-05-2023,Entertainment,444.91,Donation
26-05-2023,Entertainment,384.19,Concert
27-05-2023,Miscellaneous,133.65,Monthly rent
28-05-2023,Miscellaneous,315.58,Monthly rent
30-05-2023,Entertainment,196.6,Movies
31-05-2023,Miscellaneous,284.86,Concert
