Date,Expense Type,Amount,Description
01-06-2023,Miscellaneous,328.46,Donation
03-06-2023,Entertainment,76.16,Monthly rent
04-06-2023,Miscellaneous,204.49,Monthly rent
06-06-2023,Miscellaneous,495.24,Monthly rent
07-06-2023,Entertainment,376.55,Donation
11-06-2023,Rent,88.71,Donation
14-06-2023,Miscellaneous,51.01,Donation
15-06-2023,Entertainment,183.05,Donation
16-06-2023,Entertainment,318.25,Monthly rent
17-06-2023,Entertainment,98.53,Monthly rent
20-06-2023,Miscellaneous,333.43,Monthly rent
21-06-2023,Miscellaneous,282.7,Donation
22-06-2023,Entertainment,222.53,Donation
23-06-2023,Rent,470.78,Monthly rent
24-06-2023,Miscellaneous,200.4,Movies
25-06-2023,Rent,418.44,Donation
28-06-2023,Entertainment,461.93,Movies
