Date,Expense Type,Amount,Description
06-07-2023,Miscellaneous,371.93,Movies
07-07-2023,Rent,395.39,Monthly rent
09-07-2023,Entertainment,129.05,Monthly rent
12-07-2023,Miscellaneous,347.85,Monthly rent
13-07-2023,Miscellaneous,444.11,Concert
14-07-2023,Rent,220.6,Concert
15-07-2023,Miscellaneous,374.46,Movies
16-07-2023,Rent,389.55,Movies
18-07-2023,Miscellaneous,280.6,Movies
21-07-2023,Rent,128.71,Monthly rent
25-07-2023,Miscellaneous,257.38,Concert
26-07-2023,Entertainment,179.32,Movies
27-07-2023,Entertainment,345.59,Donation
29-07-2023,Rent,481.2,Movies
30-07-2023,Entertainment,288.38,Concert
