Date,Expense Type,Amount,Description
02-08-2023,Miscellaneous,403.41,Movies
03-08-2023,Rent,159.35,Monthly rent
07-08-2023,Rent,288.21,Concert
08-08-2023,Miscellaneous,336.33,Donation
09-08-2023,Rent,388.16,Movies
11-08-2023,Miscellaneous,53.9,Movies
14-08-2023,Entertainment,171.74,Monthly rent
16-08-2023,Entertainment,152.13,Monthly rent
17-08-2023,Entertainment,246.9,Movies
18-08-2023,Miscellaneous,271.47,Monthly rent
20-08-2023,Miscellaneous,355.51,Concert
21-08-2023,Miscellaneous,115.98,Concert
23-08-2023,Rent,181.75,Donation
26-08-2023,Rent,306.35,Movies
28-08-2023,Miscellaneous,419.16,Donation
30-08-2023,Entertainment,307.35,Monthly rent
