Date,Expense Type,Amount,Description
01-09-2023,Rent,83.63,Concert
06-09-2023,Miscellaneous,359.82,Donation
07-09-2023,Miscellaneous,492.02,Monthly rent
14-09-2023,Miscellaneous,473.06,Monthly rent
15-09-2023,Entertainment,498.41,Movies
16-09-2023,Miscellaneous,176.68,Monthly rent
19-09-2023,Rent,93.5,Movies
21-09-2023,Entertainment,318.48,Monthly rent
23-09-2023,Entertainment,184.97,Donation
26-09-2023,Miscellaneous,331.83,Movies
29-09-2023,Entertainment,297.88,Donation
30-09-2023,Miscellaneous,136.85,Movies
