Date,Income Type,Amount,Description
01-07-2023,Freelance,1900.98,Dividends
02-07-2023,Freelance,4039.0,Consulting
06-07-2023,Investment,1972.3,Interest
07-07-2023,Salary,3486.52,Bonus
08-07-2023,Freelance,2770.46,Bonus
12-07-2023,Freelance,3972.93,Dividends
18-07-2023,Investment,3178.41,Bonus
19-07-2023,Investment,4416.07,Dividends
20-07-2023,Salary,4554.49,Bonus
22-07-2023,Salary,4697.51,Dividends
25-07-2023,Freelance,3534.16,Bonus
27-07-2023,Salary,1195.78,Interest
28-07-2023,Freelance,2652.57,Dividends
